name,oracle_text,oracleid,tag,type_line
Abomination of Gudul,"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",3d98af5f-7a0b-4a5a-b3e4-f3c9d150c993,discard-outlet,Creature — Horror
Academy Elite,"Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.
{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.",ba6c3c72-c014-45c6-a0b4-59eb9a65303e,discard-outlet,Creature — Human Wizard
Academy Raider,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.",75131d75-0703-44d0-b503-35190be8e66f,discard-outlet,Creature — Human Warrior
Akoum Flameseeker,"Cohort — {T}, Tap an untapped Ally you control: Discard a card. If you do, draw a card.",efae637f-3232-46f2-9839-f3386e2f447d,discard-outlet,Creature — Human Shaman Ally
"Alexi, Zephyr Mage","{X}{U}, {T}, Discard two cards: Return X target creatures to their owners' hands.",3f60de36-ed63-4d08-a012-fc16e91da46d,discard-outlet,Legendary Creature — Human Spellshaper
Ancient Excavation,"Draw cards equal to the number of cards in your hand, then discard a card for each card drawn this way.
Basic landcycling {2} ({2}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.)",46db3dc2-9eb1-4be3-96f9-0013119fcd97,discard-outlet,Instant
Anje Falkenrath,"Haste
{T}, Discard a card: Draw a card.
Whenever you discard a card, if it has madness, untap Anje Falkenrath.",4dab6a96-4376-4aea-983d-406167993214,discard-outlet,Legendary Creature — Vampire
Anurid Brushhopper,Discard two cards: Exile Anurid Brushhopper. Return it to the battlefield under its owner's control at the beginning of the next end step.,bdecf59c-f8bd-4003-9058-685b70c08837,discard-outlet,Creature — Frog Beast
Apocalypse,Exile all permanents. You discard your hand.,82c8f5dd-563d-4fd0-bd43-7ee2001d3777,sweeper,Sorcery
Aquamoeba,Discard a card: Switch Aquamoeba's power and toughness until end of turn.,55de434c-0fb9-4127-81b6-47c1c0b088fe,discard-outlet,Creature — Elemental Beast
Arc Mage,"{2}{R}, {T}, Discard a card: Arc Mage deals 2 damage divided as you choose among one or two targets.",011bb6cc-f1a1-4790-befc-373acabf63b8,discard-outlet,Creature — Human Spellshaper
Avaricious Dragon,"Flying
At the beginning of your draw step, draw an additional card.
At the beginning of your end step, discard your hand.",9be9d534-470d-463a-ba2f-9817a6723692,discard-outlet,Creature — Dragon
Avatar of Discord,"({B/R} can be paid with either {B} or {R}.)
Flying
When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.",3f806353-592e-431c-a7dd-a4c64034f94d,discard-outlet,Creature — Avatar
Ayula's Influence,Discard a land card: Create a 2/2 green Bear creature token.,25d955e3-2b98-4a75-bb51-6072000111be,discard-outlet,Enchantment
Azra Bladeseeker,"When Azra Bladeseeker enters the battlefield, each player on your team may discard a card, then each player who discarded a card this way draws a card.",ac4d065e-7eb6-4224-8a7c-e57f2c1a2733,discard-outlet,Creature — Azra Warrior
Bag of Holding,"Whenever you discard a card, exile that card from your graveyard.
{2}, {T}: Draw a card, then discard a card.
{4}, {T}, Sacrifice Bag of Holding: Return all cards exiled with Bag of Holding to their owner's hand.",63c04040-e109-494e-baa6-c639a6c9a996,discard-outlet,Artifact
Balance,"Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.",17fa98cd-ed8f-483f-9525-7e989a82ebb2,sweeper,Sorcery
Balduvian Horde,"When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.",fd2a94d3-901d-4b46-aa9b-a30ed6dea6bd,discard-outlet,Creature — Human Barbarian
Balloon Peddler,"{U}, {T}, Discard a card: Target creature gains flying until end of turn.",10f182a7-ffa3-4128-8b2e-e05b97f92e00,discard-outlet,Creature — Human Spellshaper
Bane Alley Broker,"{T}: Draw a card, then exile a card from your hand face down.
You may look at cards exiled with Bane Alley Broker.
{U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand.",4993e373-4b76-4582-a789-6a3123e7ca89,discard-outlet,Creature — Human Rogue
"Baral, Chief of Compliance","Instant and sorcery spells you cast cost {1} less to cast.
Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.",baf80db7-2ca8-4bfc-b5b6-25ed51878dd7,discard-outlet,Legendary Creature — Human Wizard
Barbed Shocker,"Trample, haste
Whenever Barbed Shocker deals damage to a player, that player discards all the cards in their hand, then draws that many cards.",ae5cf0da-bea8-4ba7-9fb3-0fcb076257ae,discard-outlet,Creature — Insect
